"Step","MolCLR classification Molecular Weight - loss/training","MolCLR classification Molecular Weight - loss/training__MIN","MolCLR classification Molecular Weight - loss/training__MAX"
"0","156.0557823791504","156.0557823791504","156.0557823791504"
"1","80.03623342895507","80.03623342895507","80.03623342895507"
"2","79.35569307708741","79.35569307708741","79.35569307708741"
"3","79.37396657562256","79.37396657562256","79.37396657562256"
"4","78.37271716308594","78.37271716308594","78.37271716308594"
"5","78.42465140533447","78.42465140533447","78.42465140533447"
"6","78.04355771636963","78.04355771636963","78.04355771636963"
"7","78.19210498809815","78.19210498809815","78.19210498809815"
"8","77.59647460174561","77.59647460174561","77.59647460174561"
"9","77.58999516296387","77.58999516296387","77.58999516296387"
"10","77.25910768890381","77.25910768890381","77.25910768890381"
"11","77.48263417816162","77.48263417816162","77.48263417816162"
"12","77.27581856536865","77.27581856536865","77.27581856536865"
"13","77.01224842834473","77.01224842834473","77.01224842834473"
"14","77.07717637252807","77.07717637252807","77.07717637252807"
"15","76.93649417114258","76.93649417114258","76.93649417114258"
"16","76.86600032043457","76.86600032043457","76.86600032043457"
"17","76.80222059249878","76.80222059249878","76.80222059249878"
"18","76.7827087097168","76.7827087097168","76.7827087097168"
"19","76.7908872756958","76.7908872756958","76.7908872756958"
"20","77.11107749938965","77.11107749938965","77.11107749938965"
"21","76.80152225494385","76.80152225494385","76.80152225494385"
"22","76.51494268035889","76.51494268035889","76.51494268035889"
"23","76.38437702941894","76.38437702941894","76.38437702941894"
"24","76.14506723022461","76.14506723022461","76.14506723022461"
"25","76.6088067855835","76.6088067855835","76.6088067855835"
"26","76.42150875854492","76.42150875854492","76.42150875854492"
"27","76.28909672546386","76.28909672546386","76.28909672546386"
"28","76.50650495147705","76.50650495147705","76.50650495147705"
"29","76.41098915100098","76.41098915100098","76.41098915100098"
"30","76.18187239074707","76.18187239074707","76.18187239074707"
"31","76.71159789276123","76.71159789276123","76.71159789276123"
"32","76.65050074005127","76.65050074005127","76.65050074005127"
"33","75.86147273254394","75.86147273254394","75.86147273254394"
"34","75.89311966323852","75.89311966323852","75.89311966323852"
"35","76.17257572174073","76.17257572174073","76.17257572174073"
"36","75.91801696777344","75.91801696777344","75.91801696777344"
"37","76.25783041381835","76.25783041381835","76.25783041381835"
"38","76.09460060882569","76.09460060882569","76.09460060882569"
"39","76.3392837677002","76.3392837677002","76.3392837677002"
"40","76.02289614868164","76.02289614868164","76.02289614868164"
"41","75.82319284057617","75.82319284057617","75.82319284057617"
"42","75.60034219360351","75.60034219360351","75.60034219360351"
"43","76.00083438873291","76.00083438873291","76.00083438873291"
"44","75.79660678863526","75.79660678863526","75.79660678863526"
"45","75.66058892822265","75.66058892822265","75.66058892822265"
"46","75.96104400634766","75.96104400634766","75.96104400634766"
"47","75.76444850921631","75.76444850921631","75.76444850921631"
"48","75.67239131164551","75.67239131164551","75.67239131164551"
"49","75.89357625579834","75.89357625579834","75.89357625579834"
"50","75.86486498260498","75.86486498260498","75.86486498260498"
"51","76.33185350036621","76.33185350036621","76.33185350036621"
"52","75.83944421386718","75.83944421386718","75.83944421386718"
"53","76.4361404953003","76.4361404953003","76.4361404953003"
"54","75.59743279266357","75.59743279266357","75.59743279266357"
"55","75.44147068786621","75.44147068786621","75.44147068786621"
"56","75.27707858276368","75.27707858276368","75.27707858276368"
"57","75.49814652252198","75.49814652252198","75.49814652252198"
"58","75.87724374389649","75.87724374389649","75.87724374389649"
"59","75.72478076171875","75.72478076171875","75.72478076171875"
"60","75.31394374084472","75.31394374084472","75.31394374084472"
"61","75.71086338043213","75.71086338043213","75.71086338043213"
"62","75.4296851272583","75.4296851272583","75.4296851272583"
"63","75.45692681121827","75.45692681121827","75.45692681121827"
"64","75.31464361572266","75.31464361572266","75.31464361572266"
"65","75.77688283538818","75.77688283538818","75.77688283538818"
"66","75.67163021850585","75.67163021850585","75.67163021850585"
"67","74.85433850097657","74.85433850097657","74.85433850097657"
"68","75.39833457946777","75.39833457946777","75.39833457946777"
"69","75.65957433319092","75.65957433319092","75.65957433319092"
"70","75.15679624176025","75.15679624176025","75.15679624176025"
"71","75.62128427124023","75.62128427124023","75.62128427124023"
"72","75.84247510528564","75.84247510528564","75.84247510528564"
"73","75.51492600250243","75.51492600250243","75.51492600250243"
"74","75.63762118911743","75.63762118911743","75.63762118911743"
"75","74.62317489624023","74.62317489624023","74.62317489624023"
"76","75.12049001312256","75.12049001312256","75.12049001312256"
"77","75.51413917541504","75.51413917541504","75.51413917541504"
"78","76.17368869018554","76.17368869018554","76.17368869018554"
"79","75.17466346740723","75.17466346740723","75.17466346740723"
"80","75.25971546173096","75.25971546173096","75.25971546173096"
"81","75.03452965545654","75.03452965545654","75.03452965545654"
"82","75.26253252792358","75.26253252792358","75.26253252792358"
"83","75.4012382965088","75.4012382965088","75.4012382965088"
"84","75.20588669586182","75.20588669586182","75.20588669586182"
"85","75.05484468841553","75.05484468841553","75.05484468841553"
"86","75.31706056213379","75.31706056213379","75.31706056213379"
"87","75.63381314086914","75.63381314086914","75.63381314086914"
"88","74.91024269104004","74.91024269104004","74.91024269104004"
"89","75.36840670776367","75.36840670776367","75.36840670776367"
"90","75.39704837036133","75.39704837036133","75.39704837036133"
"91","75.23900207519532","75.23900207519532","75.23900207519532"
"92","75.42749773406982","75.42749773406982","75.42749773406982"
"93","75.20410835266114","75.20410835266114","75.20410835266114"
"94","74.9087334060669","74.9087334060669","74.9087334060669"
"95","75.10845500946044","75.10845500946044","75.10845500946044"
"96","75.58820374298095","75.58820374298095","75.58820374298095"
"97","75.13874687957764","75.13874687957764","75.13874687957764"
"98","74.82036189270019","74.82036189270019","74.82036189270019"
"99","75.09185917663574","75.09185917663574","75.09185917663574"